Learning Rate,Gain,Look Back,Epochs,Threshold,Average Overlap
0.03,0.315,4,10,0.45,0.7564497292041779
0.03,0.315,4,10,0.48,0.8040426522493362
0.03,0.315,4,10,0.5,0.7446349412202835
0.03,0.315,4,10,0.52,0.7296640276908875
0.03,0.315,5,10,0.45,0.7375180572271347
0.03,0.315,5,10,0.48,0.7511086314916611
0.03,0.315,5,10,0.5,0.7462651133537292
0.03,0.315,5,10,0.52,0.7123749852180481
0.03,0.315,6,10,0.45,0.7838269472122192
0.03,0.315,6,10,0.48,0.7703665047883987
0.03,0.315,6,10,0.5,0.7310353517532349
0.03,0.315,6,10,0.52,0.7115494608879089
0.03,0.32,4,10,0.45,0.6875007003545761
0.03,0.32,4,10,0.48,0.77989861369133
0.03,0.32,4,10,0.5,0.7470339834690094
0.03,0.32,4,10,0.52,0.7503672391176224
0.03,0.32,5,10,0.45,0.7355452626943588
0.03,0.32,5,10,0.48,0.7764383256435394
0.03,0.32,5,10,0.5,0.7486158758401871
0.03,0.32,5,10,0.52,0.697900265455246
0.03,0.32,6,10,0.45,0.7415090352296829
0.03,0.32,6,10,0.48,0.7771869748830795
0.03,0.32,6,10,0.5,0.7568726092576981
0.03,0.32,6,10,0.52,0.7182646542787552
0.03,0.325,4,10,0.45,0.7119067460298538
0.03,0.325,4,10,0.48,0.7844789922237396
0.03,0.325,4,10,0.5,0.7583171129226685
0.03,0.325,4,10,0.52,0.7134332805871964
0.03,0.325,5,10,0.45,0.7000651061534882
0.03,0.325,5,10,0.48,0.7820267677307129
0.03,0.325,5,10,0.5,0.7500013560056686
0.03,0.325,5,10,0.52,0.7222823947668076
0.03,0.325,6,10,0.45,0.753558486700058
0.03,0.325,6,10,0.48,0.7771533280611038
0.03,0.325,6,10,0.5,0.7526193559169769
0.03,0.325,6,10,0.52,0.7190057784318924
0.03,0.33,4,10,0.45,0.702626034617424
0.03,0.33,4,10,0.48,0.7728681117296219
0.03,0.33,4,10,0.5,0.7907114028930664
0.03,0.33,4,10,0.52,0.7473207861185074
0.03,0.33,5,10,0.45,0.7151273787021637
0.03,0.33,5,10,0.48,0.7906369566917419
0.03,0.33,5,10,0.5,0.7580423802137375
0.03,0.33,5,10,0.52,0.736720085144043
0.03,0.33,6,10,0.45,0.7113339900970459
0.03,0.33,6,10,0.48,0.767653226852417
0.03,0.33,6,10,0.5,0.7749554216861725
0.03,0.33,6,10,0.52,0.7013471871614456
0.03,0.335,4,10,0.45,0.6414864510297775
0.03,0.335,4,10,0.48,0.7716357856988907
0.03,0.335,4,10,0.5,0.7814295589923859
0.03,0.335,4,10,0.52,0.741757869720459
0.03,0.335,5,10,0.45,0.6582390367984772
0.03,0.335,5,10,0.48,0.7752974778413773
0.03,0.335,5,10,0.5,0.795791357755661
0.03,0.335,5,10,0.52,0.7666007727384567
0.03,0.335,6,10,0.45,0.7305932343006134
0.03,0.335,6,10,0.48,0.7736381739377975
0.03,0.335,6,10,0.5,0.7444471269845963
0.03,0.335,6,10,0.52,0.7013235241174698
0.0325,0.315,4,10,0.45,0.7262816876173019
0.0325,0.315,4,10,0.48,0.7960617542266846
0.0325,0.315,4,10,0.5,0.7649363130331039
0.0325,0.315,4,10,0.52,0.7219848036766052
0.0325,0.315,5,10,0.45,0.7114744484424591
0.0325,0.315,5,10,0.48,0.7635278403759003
0.0325,0.315,5,10,0.5,0.7234375923871994
0.0325,0.315,5,10,0.52,0.7214663326740265
0.0325,0.315,6,10,0.45,0.7428475618362427
0.0325,0.315,6,10,0.48,0.7833160609006882
